,icao,iata,name,shortName,municipalityName,countryCode,lat,lon,from,averageDailyFlights,dist,co2KGPerPerson,percentageco2(%)
146,KLOM,BBX,"Wings Field, Philadelphia",Wings Field,Philadelphia,US,40.1375,-75.2651,BOS,0.14,434.01,49.91,1.375408544012522
147,KSOP,SOP,"Moore County, Pinehurst/Southern Pines",Moore County,Pinehurst/Southern Pines,US,35.2374,-79.3912,BOS,0.14,1074.2,123.53,3.404211930311899
148,KPVD,PVD,"Theodore Francis Green State, Providence",Theodore Francis Green State,Providence,US,41.7326,-71.4204,BOS,0.14,78.1,8.98,0.24746881837772894
149,MDPP,POP,"Gregorio Luperon, Puerto Plata",Gregorio Luperon,Puerto Plata,DO,19.7579,-70.57,BOS,0.14,2507.02,288.31,7.9451820742186
150,KSDL,SCF,"Scottsdale, Scottsdale",,Scottsdale,US,33.6229,-111.911,BOS,0.14,3683.1,423.56,11.672371126065798
151,TLPL,UVF,"Hewanorra, Vieux Fort",Hewanorra,Vieux Fort,LC,13.7332,-60.9526,BOS,0.14,3318.07,381.58,10.515495736812227
152,KMQY,MQY,"Smyrna, Smyrna",,Smyrna,US,36.009,-86.5201,BOS,0.14,1511.25,173.79,4.7892656955306805
153,KSGH,SGH,"Springfield-Beckley Municipal, Springfield",Beckley Municipal,Springfield,US,39.8403,-83.8402,BOS,0.14,1112.49,127.94,3.5257417175107615
154,KSUA,SUA,"Witham Field, Stuart",Witham Field,Stuart,US,27.1817,-80.2211,BOS,0.14,1880.89,216.3,5.960746705468015
155,LPLA,TER,"Lajes Field, Lajes",Field,Lajes,PT,38.7618,-27.0908,BOS,0.14,3699.38,425.43,11.723904165082095
156,KRDG,RDG,"Reading Regional Carl A Spaatz Field, Reading",Regional Carl A Spaatz Field,Reading,US,40.3785,-75.9652,BOS,0.14,469.56,54.0,1.4881198432513767
157,KYIP,YIP,"Willow Run, Detroit",Willow Run,Detroit,US,42.2379,-83.5304,BOS,0.14,1031.61,118.64,3.269454411173024
158,KILM,ILM,"Wilmington, Wilmington",,Wilmington,US,34.2706,-77.9026,BOS,0.14,1081.15,124.33,3.426258150211919
159,KORH,ORH,"Worcester Regional, Worcester",Regional,Worcester,US,42.2673,-71.8757,BOS,0.14,72.23,8.31,0.22900510921146183
160,KLAX,LAX,"Los Angeles, Los Angeles",,Los Angeles,US,33.9425,-118.408,JFK,23.43,3983.0,458.05,12.622838781505427
161,KBOS,BOS,"General Edward Lawrence Logan, Boston",General Edward Lawrence Logan,Boston,US,42.3643,-71.0052,JFK,23.15,300.34,34.54,0.9518455441833804
